timestamps population node_ids
2945.49 v1 226
2782.82 v1 226
2771.296 v1 226
2756.737 v1 226
2744.075 v1 226
2731.318 v1 226
2054.402 v1 226
2034.347 v1 226
2007.177 v1 226
1997.592 v1 226
1378.364 v1 226
1335.423 v1 226
1295.201 v1 226
1280.066 v1 226
1243.456 v1 226
1225.627 v1 226
1213.643 v1 226
1199.661 v1 226
1177.428 v1 226
1069.79 v1 226
1056.107 v1 226
1040.694 v1 226
1021.587 v1 226
1004.384 v1 226
980.72 v1 226
1420.201 v1 226
241.833 v1 227
1444.932 v1 226
1490.413 v1 226
1986.794 v1 226
1957.822 v1 226
1942.385 v1 226
1849.836 v1 226
1790.11 v1 226
1768.4 v1 226
1757.102 v1 226
1728.384 v1 226
1718.017 v1 226
1701.271 v1 226
1685.452 v1 226
1615.273 v1 226
1588.289 v1 226
1566.261 v1 226
1504.606 v1 226
1473.198 v1 226
969.13 v1 226
262.023 v1 227
342.455 v1 227
1373.373 v1 227
1343.34 v1 227
1324.838 v1 227
1299.266 v1 227
1285.345 v1 227
1268.322 v1 227
1389.576 v1 227
1244.398 v1 227
1219.11 v1 227
1206.065 v1 227
1180.107 v1 227
1158.474 v1 227
1118.754 v1 227
1105.874 v1 227
1231.406 v1 227
1411.798 v1 227
1434.034 v1 227
1446.835 v1 227
1712.724 v1 227
1698.265 v1 227
1677.951 v1 227
1655.068 v1 227
1631.179 v1 227
1619.072 v1 227
1610.184 v1 227
1601.132 v1 227
1587.942 v1 227
1574.988 v1 227
1518.416 v1 227
1505.018 v1 227
1494.272 v1 227
1477.817 v1 227
1467.294 v1 227
1095.511 v1 227
1085.179 v1 227
1070.89 v1 227
1054.704 v1 227
661.568 v1 227
645.83 v1 227
636.139 v1 227
626.628 v1 227
614.934 v1 227
599.839 v1 227
590.189 v1 227
577.205 v1 227
565.843 v1 227
554.08 v1 227
540.39 v1 227
527.653 v1 227
515.999 v1 227
492.64 v1 227
439.633 v1 227
673.824 v1 227
294.94 v1 227
694.505 v1 227
729.47 v1 227
1035.9 v1 227
1018.332 v1 227
986.943 v1 227
967.603 v1 227
955.014 v1 227
898.99 v1 227
876.895 v1 227
866.835 v1 227
854.904 v1 227
843.268 v1 227
833.262 v1 227
822.597 v1 227
784.792 v1 227
771.485 v1 227
750.453 v1 227
713.578 v1 227
597.589 v1 225
959.95 v1 226
765.547 v1 226
1575.176 v1 225
1508.11 v1 225
1492.849 v1 225
1470.515 v1 225
1449.418 v1 225
1437.657 v1 225
1592.398 v1 225
1420.808 v1 225
1383.054 v1 225
1373.31 v1 225
1361.204 v1 225
1334.324 v1 225
1302.223 v1 225
1283.719 v1 225
1408.574 v1 225
1603.198 v1 225
1614.682 v1 225
1627.266 v1 225
1918.631 v1 225
1902.79 v1 225
1887.261 v1 225
1869.588 v1 225
1855.949 v1 225
1840.895 v1 225
1790.371 v1 225
1762.657 v1 225
1750.215 v1 225
1725.799 v1 225
1706.076 v1 225
1696.459 v1 225
1682.561 v1 225
1667.015 v1 225
1647.514 v1 225
1270.994 v1 225
1245.726 v1 225
1231.07 v1 225
1215.599 v1 225
860.567 v1 225
845.384 v1 225
828.96 v1 225
786.431 v1 225
769.672 v1 225
747.175 v1 225
